1. 爱 (ài) | Ghét | Sợ | Nhớ | Yêu
2. 八 (bā) | Chín | Bảy | Mười | Tám
3. 爸爸 (bàba) | Mẹ | Ông | Bà | Bố
4. 杯子 (bēizi) | Cái đĩa | Cái thìa | Cái bát | Cái cốc
5. 北京 (Běijīng) | Thượng Hải | Quảng Châu | Nam Kinh | Bắc Kinh
6. 本 (běn) | Cái bút | Quyển vở | Tờ giấy | Quyển sách
7. 不客气 (bú kèqi) | Xin lỗi | Cảm ơn | Tạm biệt | Không có chi
8. 不 (bù) | Có | Đang | Đã | Không
9. 菜 (cài) | Cơm | Thịt | Rau/Món ăn | Bánh
10. 茶 (chá) | Nước | Bia | Sữa | Trà
11. 吃 (chī) | Uống | Ngủ | Chơi | Ăn
12. 出租车 (chūzūchē) | Xe bus | Xe đạp | Xe máy | Xe taxi
13. 打电话 (dǎ diànhuà) | Xem tivi | Đọc sách | Viết chữ | Gọi điện thoại
14. 大 (dà) | Nhỏ | Cao | Thấp | To/Lớn
15. 的 (de) | Là | Ở | Có | Của
16. 点 (diǎn) | Giây | Phút | Ngày | Giờ
17. 电脑 (diànnǎo) | Điện thoại | Tivi | Đài | Máy tính
18. 电视 (diànshì) | Máy ảnh | Máy in | Đài | Tivi
19. 电影 (diànyǐng) | Âm nhạc | Hội họa | Thể thao | Phim
20. 东西 (dōngxi) | Con người | Động vật | Địa điểm | Đồ vật
21. 都 (dōu) | Chưa | Đang | Vừa | Đều
22. 读 (dú) | Viết | Nghe | Nói | Đọc
23. 对不起 (duìbuqǐ) | Chào bạn | Cảm ơn | Tạm biệt | Xin lỗi
24. 多 (duō) | Ít | Nhỏ | Thấp | Nhiều
25. 多少 (duōshǎo) | Ở đâu | Khi nào | Ai | Bao nhiêu
26. 儿子 (érzi) | Con gái | Cháu trai | Anh trai | Con trai
27. 二 (èr) | Ba | Một | Bốn | Hai
28. 高兴 (gāoxìng) | Buồn | Mệt | Tức giận | Vui vẻ
29. 个 (gè) | Cái/Cây | Con | Chiếc | Lượng từ (cá thể)
30. 工作 (gōngzuò) | Nghỉ ngơi | Đi chơi | Ăn cơm | Công việc
31. 汉语 (Hànyǔ) | Tiếng Anh | Tiếng Nhật | Tiếng Pháp | Tiếng Trung
32. 好 (hǎo) | Xấu | Tệ | Mệt | Tốt/Đẹp
33. 号 (hào) | Thứ | Năm | Tháng | Ngày
34. 喝 (hē) | Ăn | Ngủ | Chơi | Uống
35. 和 (hé) | Nhưng | Mà | Vì | Và
36. 很 (hěn) | Không | Đang | Rất | Đã
37. 后边 (hòubiān) | Phía trước | Phía trên | Phía dưới | Phía sau
38. 会 (huì) | Không biết | Không thể | Không dám | Biết
39. 几 (jǐ) | Ai | Cái gì | Bao nhiêu | Mấy
40. 家 (jiā) | Công ty | Trường học | Cửa hàng | Nhà
41. 叫 (jiào) | Nói | Nghe | Nhìn | Gọi tên
42. 今天 (jīntiān) | Hôm qua | Ngày mai | Tuần sau | Hôm nay
43. 九 (jiǔ) | Tám | Bảy | Mười | Chín
44. 开 (kāi) | Đóng | Tắt | Mở | Lái/Mở
45. 看 (kàn) | Nghe | Đọc | Nói | Nhìn/Xem
46. 看见 (kànjiàn) | Nghe thấy | Nhìn thấy | Đọc hiểu | Nói được
47. 块 (kuài) | Xu | Hào | Tệ (tiền) | Đồng/Mảnh
48. 来 (lái) | Đi | Về | Đứng | Đến
49. 老师 (lǎoshī) | Học sinh | Bác sĩ | Cảnh sát | Giáo viên
50. 了 (le) | Chưa | Đang | Sẽ | Trợ từ (đã xong)
51. 冷 (lěng) | Nóng | Ấm | Mát | Lạnh
52. 里 (lǐ) | Ngoài | Trước | Sau | Trong
53. 六 (liù) | Bốn | Năm | Bảy | Sáu
54. 妈妈 (māma) | Bố | Ông | Bà | Mẹ
55. 吗 (ma) | Không | Đang | Đã | Từ để hỏi
56. 买 (mǎi) | Bán | Cho | Tặng | Mua
57. 猫 (māo) | Chó | Chim | Cá | Mèo
58. 没 (méi) | Có | Đang | Sẽ | Không có
59. 没关系 (méi guānxi) | Xin lỗi | Cảm ơn | Tạm biệt | Không sao
60. 米饭 (mǐfàn) | Rau | Bánh | Mì | Cơm
61. 明天 (míngtiān) | Hôm nay | Hôm qua | Tuần sau | Ngày mai
62. 名字 (míngzi) | Tuổi | Số | Quê | Tên
63. 哪 (nǎ) | Ai | Cái gì | Khi nào | Đâu/Nào
64. 哪儿 (nǎr) | Khi nào | Ai | Cái gì | Đâu
65. 那 (nà) | Đây | Nào | Cái gì | Kia
66. 呢 (ne) | Thì sao | Đang | Đã | Nhé/À
67. 能 (néng) | Không thể | Không dám | Không muốn | Có thể
68. 你 (nǐ) | Tôi | Anh ấy | Cô ấy | Bạn
69. 年 (nián) | Ngày | Tháng | Tuần | Năm
