1. 吧 (ba) | Nhé/À | Không | Đang | Đã
2. 百 (bǎi) | Mười | Ngàn | Vạn | Trăm
3. 帮助 (bāngzhù) | Ngăn cản | Phá hoại | Phớt lờ | Giúp đỡ
4. 报纸 (bàozhǐ) | Sách | Vở | Bút | Báo
5. 比 (bǐ) | Bằng | Như | Hơn (so sánh) | Không
6. 别 (bié) | Hãy | Đang | Đã | Đừng/Chớ
7. 宾馆 (bīnguǎn) | Nhà | Trường | Cửa hàng | Khách sạn
8. 不客气 (bùkèqì) | Xin lỗi | Cảm ơn | Tạm biệt | Không có chi
9. 长 (cháng) | Ngắn | Thấp | Nhỏ | Dài
10. 唱歌 (chànggē) | Vẽ tranh | Múa | Đọc thơ | Hát
11. 出 (chū) | Vào | Lên | Xuống | Ra
12. 穿 (chuān) | Cởi | Tháo | Đeo | Mặc
13. 次 (cì) | Ngày | Giờ | Năm | Lần/Lượt
14. 从 (cóng) | Đến | Tại | Ở | Từ
15. 错 (cuò) | Đúng | Tốt | Đẹp | Sai
16. 打篮球 (dǎlánqiú) | Đá bóng | Chạy bộ | Nhảy dây | Chơi bóng rổ
17. 但是 (dànshì) | Vì | Nên | Và | Nhưng
18. 到 (dào) | Đi | Về | Ở | Đến
19. 得 (dé/děi) | Không | Đang | Đã | Phải/Được
20. 等 (děng) | Đi | Đến | Về | Đợi
21. 第 (dì) | Lần | Năm | Tuần | Thứ (số thứ tự)
22. 懂 (dǒng) | Biết | Nhớ | Thích | Hiểu
23. 对 (duì) | Sai | Xấu | Tệ | Đúng
24. 房间 (fángjiān) | Nhà | Bếp | Sân | Phòng
25. 非常 (fēicháng) | Ít | Chút | Bình thường | Vô cùng
26. 发烧 (fāshāo) | Ho | Đau đầu | Đau bụng | Sốt
27. 服务员 (fúwùyuán) | Ông chủ | Khách | Bác sĩ | Phục vụ
28. 附近 (fùjìn) | Xa | Giữa | Ngoài | Gần/Lân cận
29. 复习 (fùxí) | Học mới | Đọc | Viết | Ôn tập
30. 干净 (gānjìng) | Bẩn | Cũ | Hỏng | Sạch sẽ
31. 感冒 (gǎnmào) | Sốt | Ho | Đau đầu | Cảm cúm
32. 给 (gěi) | Nhận | Mượn | Mua | Cho
33. 公共汽车 (gōnggòngqìchē) | Xe taxi | Xe đạp | Xe máy | Xe bus
34. 公里 (gōnglǐ) | Mét | Thước | Phút | Kilômét
35. 公司 (gōngsī) | Nhà | Trường | Bệnh viện | Công ty
36. 够 (gòu) | Thiếu | Ít | Hết | Đủ
37. 高 (gāo) | Thấp | Lùn | Nhỏ | Cao
38. 关 (guān) | Mở | Bật | Chạy | Đóng
39. 贵 (guì) | Rẻ | Tệ | Xấu | Đắt
40. 过 (guò) | Đang | Sẽ | Mới | Qua/Từng
41. 还 (hái/huán) | Đã | Đang | Sẽ | Còn/Trả
42. 环境 (huánjìng) | Thời tiết | Khí hậu | Con người | Môi trường
43. 换 (huàn) | Giữ | Cất | Vứt | Thay/Đổi
44. 黄河 (Huánghé) | Sông Dương Tử | Biển | Hồ | Sông Hoàng Hà
45. 回答 (huídá) | Hỏi | Nói | Đọc | Trả lời
46. 会 (huì) | Không | Đang | Sẽ | Biết
47. 还是 (háishì) | Và | Nhưng | Vì | Hoặc là
48. 或者 (huòzhě) | Và | Nhưng | Vì | Hoặc
49. 几乎 (jīhū) | Hoàn toàn | Rất | Đều | Hầu như
50. 记得 (jìde) | Quên | Biết | Hiểu | Nhớ
51. 季节 (jìjié) | Ngày | Giờ | Tuần | Mùa
52. 检查 (jiǎnchá) | Bỏ qua | Phớt lờ | Tin tưởng | Kiểm tra
53. 简单 (jiǎndān) | Khó | Phức tạp | Dài | Đơn giản
54. 健康 (jiànkāng) | Yếu | Ốm | Mệt | Khỏe mạnh
