1. 阿姨 (āyí) | Ông | Bà | Chú | Dì/Cô
2. 啊 (a) | Vâng | Không | Ừ | Trợ từ cảm thán
3. 矮 (ǎi) | Cao | Dài | To | Thấp/Lùn
4. 爱护 (àihù) | Phá hoại | Ghét bỏ | Bỏ mặc | Yêu thương/Bảo vệ
5. 爱惜 (àixī) | Lãng phí | Phá hoại | Phớt lờ | Trân trọng
6. 爱心 (àixīn) | Vô tâm | Tàn nhẫn | Ích kỷ | Lòng nhân ái
7. 安慰 (ānwèi) | Trêu chọc | Mắng mỏ | Phớt lờ | An ủi
8. 安装 (ānzhuāng) | Tháo dỡ | Phá hủy | Vứt bỏ | Lắp đặt
9. 岸 (àn) | Biển | Sông | Hồ | Bờ
10. 暗 (àn) | Sáng | Chói | Nắng | Tối
11. 熬夜 (áoyè) | Ngủ sớm | Nghỉ ngơi | Chơi | Thức khuya
12. 把握 (bǎwò) | Mơ hồ | Bỏ lỡ | Nhầm lẫn | Nắm bắt/Chắc chắn
13. 摆 (bǎi) | Cất | Vứt | Phá | Đặt/Bày
14. 班主任 (bānzhǔrèn) | Hiệu trưởng | Bảo vệ | Nhân viên | Giáo viên chủ nhiệm
15. 办理 (bànlǐ) | Hủy bỏ | Phớt lờ | Bỏ dở | Giải quyết/Làm thủ tục
16. 半 (bàn) | Một | Hai | Ba | Nửa
17. 伴侣 (bànlǚ) | Bạn bè | Đồng nghiệp | Người lạ | Bạn đời
18. 帮忙 (bāngmáng) | Ngăn cản | Phá rối | Phớt lờ | Giúp đỡ
19. 棒 (bàng) | Tệ | Xấu | Lười | Giỏi/Tuyệt
20. 傍晚 (bàngwǎn) | Sáng | Trưa | Đêm | Chập tối
21. 包裹 (bāoguǒ) | Bút | Giấy | Vở | Bưu phẩm/Gói hàng
22. 包含 (bāohán) | Loại trừ | Tách biệt | Phá bỏ | Bao gồm
23. 包括 (bāokuò) | Ngoại trừ | Tách rời | Bỏ qua | Bao gồm
24. 薄 (báo) | Dày | Nặng | Cứng | Mỏng
25. 宝贝 (bǎobèi) | Đồ vứt | Rác | Đồ cũ | Bảo bối/Cục cưng
26. 宝贵 (bǎoguì) | Tầm thường | Vô nghĩa | Rẻ tiền | Quý giá
27. 保持 (bǎochí) | Thay đổi | Hủy bỏ | Phá hủy | Duy trì/Giữ
28. 保存 (bǎocún) | Xóa bỏ | Vứt đi | Phá hủy | Lưu giữ/Bảo tồn
29. 保留 (bǎoliú) | Hủy bỏ | Vứt bỏ | Phá hủy | Bảo lưu/Giữ lại
30. 保险 (bǎoxiǎn) | Nguy hiểm | Rủi ro | Lừa đảo | Bảo hiểm
31. 报告 (bàogào) | Giấu kín | Im lặng | Phớt lờ | Báo cáo
32. 悲观 (bēiguān) | Lạc quan | Vui vẻ | Hạnh phúc | Bi quan
