1. 既然...就... (jìrán...jiù...) | Mặc dù... | Cho dù... | Vì... | Đã...thì...
2. 即使...也... (jíshǐ...yě...) | Vì...nên... | Nếu...thì... | Mặc dù... | Cho dù...cũng...
3. 无论...都... (wúlùn...dōu...) | Vì...nên... | Nếu...thì... | Mặc dù... | Bất luận...đều...
4. 只要...就... (zhǐyào...jiù...) | Mặc dù... | Cho dù... | Vì... | Chỉ cần...thì...
5. 只有...才... (zhǐyǒu...cái...) | Mặc dù... | Cho dù... | Vì... | Chỉ có...mới...
6. 连...都... (lián...dōu...) | Vừa...lại | Không chỉ... | Đã... | Ngay cả...cũng...
7. 不仅...而且... (bùjǐn...érqiě...) | Không những...vừa... | Vì...nên... | Mặc dù... | Không những...mà còn...
8. 与其...不如... (yǔqí...bùrú...) | Mặc dù... | Cho dù... | Vì... | Thà rằng...còn hơn là...
9. 宁可...也不... (nìngkě...yěbù...) | Vì...nên... | Nếu...thì... | Mặc dù... | Thà...còn hơn là...
10. 一边...一边... (yībiān...yībiān...) | Sau khi... | Vì... | Nhưng... | Vừa...vừa...
11. 既然 (jìrán) | Nhưng | Mà | Vì | Đã...thì...
12. 凡是 (fánshì) | Một số | Không ai | Phớt lờ | Phàm là/Tất cả
13. 毕竟 (bìjìng) | Mới | Vừa | Đang | Rốt cuộc
14. 简直 (jiǎnzhí) | Không | Đang | Đã | Đơn giản là
15. 难免 (nánmiǎn) | Dễ tránh | Có thể | Rất | Khó tránh khỏi
16. 甚至 (shènzhì) | Vì | Nên | Nhưng | Thậm chí
17. 从而 (cóng'ér) | Trước đó | Sau đó | Vì | Do đó
18. 反而 (fǎn'ér) | Như vậy | Rất | Đều | Trái lại
19. 究竟 (jiūjìng) | Ai | Cái gì | Ở đâu | Rốt cuộc (câu hỏi)
20. 往往 (wǎngwǎng) | Chưa | Đang | Vừa | Thường
21. 曾经 (céngjīng) | Đang | Sẽ | Chưa | Đã từng
22. 一向 (yīxiàng) | Chưa | Đang | Vừa | Luôn luôn
23. 居然 (jūrán) | Thật ra | Có lẽ | Chắc chắn | Không ngờ
24. 竟然 (jìngrán) | Thật ra | Có lẽ | Chắc chắn | Không ngờ
25. 索性 (suǒxìng) | Do dự | Nghi ngờ | Bỏ qua | Thà rằng/Dứt khoát
26. 大概 (dàgài) | Chắc chắn | Nhất định | Rõ ràng | Khoảng
27. 确实 (quèshí) | Sai lệch | Mơ hồ | Phớt lờ | Quả thực
28. 实在 (shízài) | Không | Đang | Đã | Thật sự
29. 万一 (wànyī) | Chắc chắn | Nhất định | Rõ ràng | Ngộ nhỡ
30. 难道 (nándào) | Cái gì | Ở đâu | Khi nào | Lẽ nào
31. 难怪 (nánguài) | Cái gì | Ở đâu | Khi nào | Thảo nào
32. 一再 (yīzài) | Một lần | Dừng lại | Phớt lờ | Hết lần này đến lần khác
33. 再三 (zàisān) | Một lần | Dừng lại | Phớt lờ | Ba lần bảy lượt
34. 顺便 (shùnbiàn) | Cố ý | Chủ động | Phớt lờ | Tiện thể
35. 亲口 (qīnkǒu) | Nghe nói | Đọc | Viết | Tự miệng mình nói
36. 亲手 (qīnshǒu) | Mua | Bán | Mượn | Tự tay mình làm
37. 亲眼 (qīnyǎn) | Nghe nói | Đọc | Viết | Tự mắt mình thấy
38. 尤其 (yóuqí) | Bình thường | Xấu | Cũ | Đặc biệt là
39. 特意 (tèyì) | Tình cờ | Ngẫu nhiên | Đang | Cố ý/Đặc biệt
40. 果然 (guǒrán) | Có lẽ | Chắc chắn | Rõ ràng | Quả nhiên
41. 依然 (yīrán) | Thay đổi | Dừng lại | Hủy bỏ | Vẫn/Vẫn như cũ
42. 仍然 (réngrán) | Thay đổi | Dừng lại | Hủy bỏ | Vẫn/Vẫn như cũ
43. 突如其来 (tūrúqílái) | Chậm | Lâu | Mãi | Đột ngột xảy ra
44. 既然 (jìrán) | Nếu | Vì | Nhưng | Đã (thế) thì
45. 只是 (zhǐshì) | Vì | Nên | Và | Chỉ là
