1. 爱情 (àiqíng) | Tình bạn | Tình đồng nghiệp | Tình thân | Tình yêu
2. 安排 (ānpái) | Hủy bỏ | Phá hoại | Bỏ bê | Sắp xếp
3. 安全 (ānquán) | Nguy hiểm | Rủi ro | Hư hỏng | An toàn
4. 按时 (ànshí) | Trễ giờ | Hủy bỏ | Bỏ dở | Đúng giờ
5. 按照 (ànzhào) | Trái ngược | Phớt lờ | Bỏ qua | Theo như
6. 百分之 (bǎifēnzhī) | Một phần | Số nguyên | Tổng số | Phần trăm
7. 棒 (bàng) | Tệ | Xấu | Kém | Giỏi/Tuyệt vời
8. 傍晚 (bàngwǎn) | Sáng sớm | Trưa | Đêm | Chập tối
9. 包 (bāo) | Mở | Bóc | Tách | Bao/Gói
10. 包含 (bāohán) | Loại trừ | Tách rời | Phớt lờ | Bao gồm
11. 宝贵 (bǎoguì) | Rẻ tiền | Vô nghĩa | Tầm thường | Quý giá
12. 保护 (bǎohù) | Phá hoại | Hủy bỏ | Tấn công | Bảo vệ
13. 保留 (bǎoliú) | Hủy bỏ | Vứt bỏ | Phá hủy | Bảo lưu/Giữ lại
14. 保险 (bǎoxiǎn) | Nguy hiểm | Rủi ro | Lừa đảo | Bảo hiểm
15. 保证 (bǎozhèng) | Phủ định | Từ chối | Nghi ngờ | Bảo đảm
16. 抱 (bào) | Thả | Đẩy | Xa lánh | Ôm
17. 抱歉 (bàoqiàn) | Vui vẻ | Hạnh phúc | Tự hào | Xin lỗi
18. 报道 (bàodào) | Giấu kín | Im lặng | Phớt lờ | Đưa tin/Báo cáo
19. 报告 (bàogào) | Giấu kín | Phớt lờ | Bỏ qua | Báo cáo
20. 报名 (bàomíng) | Hủy đăng ký | Bỏ cuộc | Phớt lờ | Đăng ký
21. 倍 (bèi) | Một nửa | Giảm | Thấp | Lần (số nhân)
22. 本来 (běnlái) | Vừa mới | Sau đó | Tương lai | Vốn dĩ
23. 笨 (bèn) | Thông minh | Nhanh nhẹn | Giỏi | Ngốc
24. 比如 (bǐrú) | Tuy nhiên | Vì thế | Tóm lại | Ví dụ
25. 彼此 (bǐcǐ) | Người khác | Riêng biệt | Tự do | Lẫn nhau
26. 必修课 (bìxiūkè) | Môn tự chọn | Môn phụ | Môn bổ trợ | Môn bắt buộc
27. 必然 (bìrán) | Ngẫu nhiên | Tình cờ | Hiếm khi | Tất nhiên
28. 必要 (bìyào) | Không cần | Vô ích | Tùy chọn | Cần thiết
29. 毕竟 (bìjìng) | Mới | Đang | Sẽ | Rốt cuộc
30. 避免 (bìmiǎn) | Đối mặt | Gây ra | Khuyến khích | Tránh
31. 编辑 (biānjí) | Phá hủy | Xóa bỏ | Phớt lờ | Biên tập
32. 鞭炮 (biānpào) | Đèn | Hoa | Quà | Pháo
33. 辩论 (biànlùn) | Đồng thuận | Im lặng | Phớt lờ | Tranh luận
34. 标点 (biāodiǎn) | Chữ cái | Con số | Ký tự | Dấu câu
35. 标志 (biāozhì) | Sự vô nghĩa | Sự biến mất | Sự phá hủy | Biểu tượng/Dấu hiệu
