1. 一旦 (yídàn) | Sau đó | Trước đó | Vì | Một khi
2. 固然 (gùrán) | Tuy nhiên | Nhưng | Vì | Đành rằng/Vốn dĩ
3. 何必 (hébì) | Rất | Cần thiết | Sẽ | Cần gì phải
4. 何况 (hékuàng) | Vì | Nên | Đang | Huống hồ là
5. 不妨 (bùfáng) | Cấm đoán | Ngăn cản | Đã | Có thể thử
6. 不至于 (bùzhìyú) | Chắc chắn | Nhất định | Rất | Không đến nỗi
7. 不免 (bùmiǎn) | Tránh được | Né tránh | Rất | Khó tránh khỏi
8. 未免 (wèimiǎn) | Hợp lý | Khen ngợi | Rất | Không khỏi quá (chê trách)
9. 难免 (nánmiǎn) | Dễ dàng | Tránh được | Sẽ | Khó tránh khỏi
10. 所谓 (suǒwèi) | Sự thật | Chứng cứ | Rất | Cái gọi là
11. 乃至 (nǎizhì) | Vì | Nên | Đang | Cho đến tận
12. 从而 (cóng'ér) | Trước đó | Sau đó | Vì | Do đó
13. 进而 (jìn'ér) | Trước | Sau | Đang | Tiến tới/Sau đó
14. 连同 (liántóng) | Tách rời | Riêng biệt | Vì | Cùng với/Gồm cả
15. 居然 (jūrán) | Thật ra | Có lẽ | Chắc chắn | Không ngờ tới
16. 竟然 (jìngrán) | Thật ra | Chắc chắn | Đang | Lại có thể (ngạc nhiên)
17. 索性 (suǒxìng) | Do dự | Nghi ngờ | Đang | Thà rằng/Dứt khoát
18. 毕竟 (bìjìng) | Mới | Vừa | Đang | Dù sao thì
19. 简直 (jiǎnzhí) | Không | Đang | Đã | Đơn giản là
20. 不禁 (bùjīn) | Rất | Chắc chắn | Đang | Không kìm được
21. 不由得 (bùyóude) | Cố ý | Chủ động | Đang | Tự nhiên/Không thể không
22. 恐怕 (kǒngpà) | Chắc chắn | Nhất định | Đang | E rằng
23. 也就是 (yějiùshì) | Vì | Nên | Đang | Tức là
24. 也就是说 (yějiùshìshuō) | Vì | Nên | Đang | Nói cách khác
25. 话说 (huàshuō) | Im lặng | Đang | Đã | Chuyện là/Nói về
26. 反正 (fǎnzhèng) | Chắc chắn | Nhất định | Đang | Dù sao thì
27. 倒是 (dàoshì) | Rất | Chắc chắn | Đang | Ngược lại/Thực ra thì
28. 无非 (wúfēi) | Rất | Chắc chắn | Đang | Chẳng qua là
29. 未必 (wèibì) | Chắc chắn | Nhất định | Đang | Chưa chắc
30. 不管怎样 (bùguǎnzěnyàng) | Bỏ cuộc | Dừng lại | Đang | Dù thế nào đi nữa
31. 无论如何 (wúlùnhéhé) | Từ bỏ | Dừng lại | Đang | Bất kể thế nào
32. 即使 (jíshǐ) | Vì | Nên | Đang | Cho dù
33. 哪怕 (nǎpà) | Vì | Nên | Đang | Dẫu cho
34. 并非 (bìngfēi) | Đúng là | Chắc chắn | Đang | Không phải là
35. 不见得 (bújiànde) | Chắc chắn | Nhất định | Đang | Chưa chắc
36. 不得不 (bùdébù) | Không muốn | Tự nguyện | Đang | Phải
37. 一旦 (yídàn) | Sau đó | Trước đó | Vì | Một khi
38. 既然 (jìrán) | Nhưng | Mà | Vì | Đã...thì...
39. 不仅 (bùjǐn) | Vừa | Vì | Đang | Không những
40. 反而 (fǎn'ér) | Như | Rất | Đang | Trái lại
41. 究竟 (jiūjìng) | Ai | Cái gì | Đang | Rốt cuộc (câu hỏi)
42. 往往 (wǎngwǎng) | Chưa | Đang | Đang | Thường
43. 曾经 (céngjīng) | Đang | Sẽ | Đang | Đã từng
44. 一向 (yīxiàng) | Chưa | Đang | Đang | Luôn luôn
45. 竟然 (jìngrán) | Thật | Có | Đang | Không ngờ
46. 果然 (guǒrán) | Có | Chắc | Đang | Quả nhiên
47. 依然 (yīrán) | Thay | Dừng | Đang | Vẫn như cũ
48. 仍然 (réngrán) | Thay | Dừng | Đang | Vẫn như cũ
49. 突如其来 (tūrúqílái) | Chậm | Lâu | Đang | Đột ngột
50. 总算 (zǒngsuàn) | Vẫn | Chưa | Đang | Cuối cùng cũng
51. 甚至于 (shènzhìyú) | Ít | Rất | Đang | Thậm chí đến mức
52. 往往 (wǎngwǎng) | Chưa | Đang | Đang | Thường
53. 究竟 (jiūjìng) | Ai | Cái | Đang | Rốt cuộc
54. 不妨 (bùfáng) | Ngăn | Cấm | Đang | Tại sao không
55. 未免 (wèimiǎn) | Hợp lý | Khen | Đang | Không khỏi quá
56. 况且 (kuàngqiě) | Vì | Nên | Đang | Vả lại
57. 甚至 (shènzhì) | Vì | Nên | Đang | Thậm chí
58. 至于 (zhìyú) | Vì | Nên | Đang | Còn về
59. 无论 (wúlùn) | Vì | Nên | Đang | Bất kể
60. 哪怕 (nǎpà) | Vì | Nên | Đang | Cho dù
61. 既...又... (jì...yòu...) | Hoặc...hoặc | Không... | Đang | Vừa...vừa...
62. 一下子 (yīxiàzi) | Từ từ | Chậm | Đang | Một thoáng/Đột ngột
63. 到底 (dàodǐ) | Vì | Nên | Đang | Rốt cuộc
64. 无所不有 (wúsuǒbùyǒu) | Thiếu | Ít | Đang | Không gì là không có
65. 毕竟 (bìjìng) | Vì | Nên | Đang | Dù sao thì
66. 宁愿 (nìngyuàn) | Muốn | Thích | Đang | Thà (rằng)
67. 反正 (fǎnzhèng) | Chắc | Nhất | Đang | Dù sao thì
68. 不至于 (bùzhìyú) | Chắc | Nhất | Đang | Không đến mức
69. 难免 (nánmiǎn) | Dễ | Có | Đang | Khó tránh khỏi
70. 未必 (wèibì) | Chắc | Nhất | Đang | Chưa chắc
71. 也就是 (yějiùshì) | Vì | Nên | Đang | Tức là
72. 也就是说 (yějiùshìshuō) | Vì | Nên | Đang | Nói cách khác
73. 话说 (huàshuō) | Im | Đang | Đang | Chuyện là
74. 倒 (dào) | Rất | Chắc | Đang | Ngược lại
75. 无非 (wúfēi) | Rất | Chắc | Đang | Chẳng qua là
76. 所谓 (suǒwèi) | Sự | Chứng | Đang | Cái gọi là
77. 俨然 (yǎnrán) | Nhỏ | Kém | Đang | Giống như là
78. 竟然 (jìngrán) | Thật | Có | Đang | Không ngờ
79. 居然 (jūrán) | Thật | Có | Đang | Không ngờ
80. 果然 (guǒrán) | Có | Chắc | Đang | Quả nhiên
81. 竟然 (jìngrán) | Thật | Có | Đang | Không ngờ
82. 确实 (quèshí) | Sai | Mơ | Đang | Quả thực
83. 实在 (shízài) | Không | Đang | Đang | Thật sự
84. 万一 (wànyī) | Chắc | Nhất | Đang | Ngộ nhỡ
85. 难道 (nándào) | Cái | Ở | Đang | Lẽ nào
86. 难怪 (nánguài) | Cái | Ở | Đang | Thảo nào
87. 一再 (yīzài) | Một | Dừng | Đang | Hết lần này đến lần khác
88. 再三 (zàisān) | Một | Dừng | Đang | Ba lần bảy lượt
89. 顺便 (shùnbiàn) | Cố | Chủ | Đang | Tiện thể
90. 亲口 (qīnkǒu) | Nghe | Đọc | Đang | Tự miệng
91. 亲手 (qīnshǒu) | Mua | Bán | Đang | Tự tay
92. 亲眼 (qīnyǎn) | Nghe | Đọc | Đang | Tự mắt
93. 尤其 (yóuqí) | Bình | Xấu | Đang | Đặc biệt là
94. 特意 (tèyì) | Tình | Ngẫu | Đang | Cố ý
95. 哪怕 (nǎpà) | Vì | Nên | Đang | Dẫu cho
96. 不管 (bùguǎn) | Vì | Nên | Đang | Bất kể
97. 不论 (bùlùn) | Vì | Nên | Đang | Bất luận
98. 既然 (jìrán) | Vì | Nên | Đang | Đã...thì...
99. 始终 (shǐzhōng) | Vì | Nên | Đang | Từ đầu đến cuối
100. 到底 (dàodǐ) | Vì | Nên | Đang | Rốt cuộc
