1. 暧昧 (àimèi) | Rõ ràng | Minh bạch | Chính xác | Mơ hồ
2. 安置 (ānzhì) | Loại bỏ | Phá hủy | Vứt bỏ | Sắp xếp/Bố trí
3. 按摩 (ànmó) | Châm cứu | Phẫu thuật | Khám bệnh | Mát-xa
4. 案件 (ànjiàn) | Vụ án | Bản án | Tài liệu | Vụ việc/Vụ án
5. 昂贵 (ángguì) | Rẻ tiền | Vô giá | Tầm thường | Đắt đỏ
6. 凹凸 (āotū) | Phẳng | Trơn tru | Bằng phẳng | Lồi lõm
7. 熬 (áo) | Luộc | Hấp | Chiên | Ninh/Hầm
8. 奥秘 (àomì) | Rõ ràng | Hiện hữu | Tầm thường | Bí mật/Ẩn đố
9. 扒 (bā) | Lắp | Xây | Cố định | Bóc/Lột
10. 把关 (bǎguān) | Lơ là | Bỏ qua | Phớt lờ | Kiểm soát/Chốt cửa
11. 巴不得 (bābude) | Từ chối | Phản đối | Im lặng | Mong mỏi/Ước gì
12. 疤 (bā) | Da lành | Vết sạch | Mịn | Vết sẹo
13. 把戏 (bǎxì) | Việc làm nghiêm túc | Tài năng | Kỹ năng | Trò ma mảnh
14. 霸道 (bàdào) | Hào phóng | Nhân từ | Tự do | Bá đạo/Ngang ngược
15. 掰 (bāi) | Đập | Chặt | Cắt | Bẻ (bằng tay)
16. 百分点 (bǎifēndiǎn) | Tỷ lệ | Tổng số | Tăng trưởng | Điểm phần trăm
17. 拜访 (bàifǎng) | Gặp tình cờ | Tạm biệt | Phớt lờ | Thăm hỏi
18. 扮演 (bànyǎn) | Khán giả | Đạo diễn | Phớt lờ | Đóng vai
19. 伴随 (bànsuí) | Tách rời | Độc lập | Phớt lờ | Đi kèm/Kèm theo
20. 颁布 (bānbù) | Thu hồi | Bãi bỏ | Phớt lờ | Ban bố/Ban hành
21. 班次 (bāncì) | Chuyến bay | Hành trình | Phớt lờ | Chuyến/Ca (xe, tàu)
22. 斑点 (bāndiǎn) | Vùng sạch | Vùng sáng | Phớt lờ | Đốm/Vết đốm
23. 搬迁 (bānqiān) | Định cư | Ở lại | Phớt lờ | Di chuyển/Dời đi
24. 版权 (bǎnquán) | Quyền lợi | Công cộng | Phớt lờ | Bản quyền
25. 伴侣 (bànlǚ) | Người lạ | Đối thủ | Phớt lờ | Bạn đời
26. 办事 (bànshì) | Chơi bời | Nghỉ ngơi | Phớt lờ | Giải quyết công việc
27. 半途而废 (bàntú'érfèi) | Kiên trì | Bền bỉ | Phớt lờ | Bỏ dở giữa chừng
28. 饱和 (bǎohé) | Thiếu hụt | Cần thiết | Phớt lờ | Bão hòa
29. 饱经风霜 (bǎojīngfēngshuāng) | Trẻ trung | Dễ dãi | Phớt lờ | Dày dạn sương gió
30. 保密 (bǎomì) | Công khai | Rõ ràng | Phớt lờ | Giữ bí mật
31. 保姆 (bǎomǔ) | Chủ nhà | Người thuê | Phớt lờ | Người giúp việc
32. 报仇 (bàochóu) | Tha thứ | Cảm ơn | Phớt lờ | Trả thù
33. 报酬 (bàochou) | Phạt | Miễn phí | Phớt lờ | Thù lao
34. 报复 (bàofù) | Giúp đỡ | tha thứ | Phớt lờ | Trả đũa
35. 报警 (bàojǐng) | Tắt chuông | Phớt lờ | Bỏ qua | Báo cảnh sát
36. 报社 (bàoshè) | Nhà in | Xưởng | Phớt lờ | Tòa soạn báo
37. 爆炸 (bàozhà) | Dập tắt | Làm nguội | Phớt lờ | Nổ/Nổ tung
38. 曝光 (bàoguāng) | Che giấu | Giữ kín | Phớt lờ | Phơi bày/Phơi sáng
39. 卑鄙 (bēibǐ) | Cao thượng | Trung thực | Phớt lờ | Đê tiện/Hèn hạ
40. 悲惨 (bēicǎn) | Hạnh phúc | Vui vẻ | Phớt lờ | Thảm thương
41. 背叛 (bèipàn) | Trung thành | Tận tụy | Phớt lờ | Phản bội
42. 背诵 (bèisòng) | Đọc | Xem | Phớt lờ | Học thuộc lòng
43. 备忘录 (bèiwànglù) | Nhật ký | Sách | Phớt lờ | Bản ghi nhớ
44. 被动 (bèidòng) | Chủ động | Tự giác | Phớt lờ | Bị động
45. 奔波 (bēnbō) | Nghỉ ngơi | Ở yên | Phớt lờ | Chạy ngược xuôi
46. 奔驰 (bēnchí) | Dừng lại | Đi bộ | Phớt lờ | Lao nhanh/Chạy nhanh
47. 本能 (běnnéng) | Học hỏi | Rèn luyện | Phớt lờ | Bản năng
48. 本人 (běnrén) | Người khác | Đại diện | Phớt lờ | Bản thân
49. 本身 (běnshēn) | Bề ngoài | Hình thức | Phớt lờ | Bản thân nó
50. 笨拙 (bènzhuó) | Khéo léo | Thông minh | Phớt lờ | Vụng về
51. 崩溃 (bēngkuì) | Vững vàng | Ổn định | Phớt lờ | Sụp đổ
52. 蹦 (bèng) | Đứng yên | Đi bộ | Phớt lờ | Nhảy
53. 迸发 (bèngfā) | Dập tắt | Ngăn cản | Phớt lờ | Bùng nổ/Phát ra
54. 比喻 (bǐyù) | Sự thật | Chứng cứ | Phớt lờ | Ví von/Ẩn dụ
55. 比例 (bǐlì) | Tổng số | Số lượng | Phớt lờ | Tỷ lệ
56. 比率 (bǐlǜ) | Tỷ lệ | Tổng hợp | Phớt lờ | Tỷ suất
57. 比武 (bǐwǔ) | Hòa giải | Đàm phán | Phớt lờ | Thi đấu võ thuật
58. 闭塞 (bìsè) | Thông suốt | Hiện đại | Phớt lờ | Bế tắc/Bịt kín
59. 弊病 (bìbìng) | Ưu điểm | Lợi thế | Phớt lờ | Tệ nạn/Khuyết điểm
60. 弊端 (bìduān) | Lợi ích | Ưu điểm | Phớt lờ | Tác hại/Khuyết điểm
61. 必定 (bìdìng) | Có lẽ | Không chắc | Phớt lờ | Nhất định
62. 毕竟 (bìjìng) | Mới | Vừa | Phớt lờ | Rốt cuộc
63. 闭幕式 (bìmùshì) | Lễ khai mạc | Hội nghị | Phớt lờ | Lễ bế mạc
64. 编织 (biānzhī) | Phá hủy | Vứt bỏ | Phớt lờ | Đan/Dệt
65. 鞭策 (biāncè) | Ngăn cản | Dập tắt | Phớt lờ | Thúc đẩy
66. 贬义 (biǎnyì) | Tốt | Tích cực | Phớt lờ | Nghĩa xấu
67. 扁 (biǎn) | Tròn | Dày | Phớt lờ | Bẹt/Dẹp
68. 变故 (biàngù) | Bình thường | Ổn định | Phớt lờ | Biến cố
