1. 不免 (bùmiǎn) | Tránh khỏi | Né tránh | Rất | Khó tránh khỏi
2. 未免 (wèimiǎn) | Hợp lý | Khen ngợi | Rất | Không khỏi quá (chê trách)
3. 不妨 (bùfáng) | Cấm đoán | Ngăn cản | Đã | Có thể thử/Tại sao không
4. 不至于 (bùzhìyú) | Chắc chắn | Nhất định | Rất | Không đến nỗi
5. 莫非 (mòfēi) | Chắc chắn | Nhất định | Rất | Chẳng lẽ là
6. 况且 (kuàngqiě) | Vì | Nên | Đang | Vả lại/Huống chi
7. 哪怕 (nǎpà) | Vì | Nên | Rất | Cho dù/Dẫu cho
8. 难免 (nánmiǎn) | Dễ dàng | Tránh được | Sẽ | Khó tránh khỏi
9. 所谓 (suǒwèi) | Sự thật | Chứng cứ | Rất | Cái gọi là
10. 依然 (yīrán) | Thay đổi | Dừng lại | Đang | Vẫn như cũ
11. 竟然 (jìngrán) | Thật ra | Có lẽ | Chắc chắn | Không ngờ tới
12. 果然 (guǒrán) | Có lẽ | Không ngờ | Rất | Quả nhiên
13. 固然 (gùrán) | Tuy nhiên | Nhưng | Đang | Đành rằng/Vốn dĩ
14. 索性 (suǒxìng) | Do dự | Nghi ngờ | Đang | Thà rằng/Dứt khoát
15. 大概 (dàgài) | Chắc chắn | Nhất định | Rất | Khoảng/Đại khái
16. 确实 (quèshí) | Sai lệch | Mơ hồ | Đang | Quả thực
17. 实在 (shízài) | Không | Đang | Đã | Thật sự
18. 一再 (yīzài) | Một lần | Dừng lại | Đang | Hết lần này đến lần khác
19. 再三 (zàisān) | Một lần | Dừng lại | Đang | Ba lần bảy lượt
20. 顺便 (shùnbiàn) | Cố ý | Chủ động | Đang | Tiện thể
21. 特意 (tèyì) | Tình cờ | Ngẫu nhiên | Đang | Cố ý/Đặc biệt
22. 终于 (zhōngyú) | Vì | Nên | Đang | Cuối cùng
23. 毕竟 (bìjìng) | Mới | Vừa | Đang | Dù sao thì
24. 简直 (jiǎnzhí) | Không | Đang | Đã | Đơn giản là
25. 宁可 (nìngkě) | Muốn | Thích | Đang | Thà (rằng)
26. 至于 (zhìyú) | Vì | Nên | Đang | Còn về/Còn như
27. 甚至 (shènzhì) | Vì | Nên | Đang | Thậm chí
28. 不禁 (bùjīn) | Rất | Chắc chắn | Đang | Không kìm được
29. 不由得 (bùyóude) | Cố ý | Chủ động | Đang | Không thể không/Tự nhiên
30. 恐怕 (kǒngpà) | Chắc chắn | Nhất định | Đang | E rằng
31. 也就是 (yějiùshì) | Vì | Nên | Đang | Tức là
32. 也就是说 (yějiùshìshuō) | Vì | Nên | Đang | Nói cách khác
33. 话说 (huàshuō) | Im lặng | Đang | Đã | Chuyện là/Nói về
34. 反正 (fǎnzhèng) | Chắc chắn | Nhất định | Đang | Dù sao thì
35. 倒是 (dàoshì) | Rất | Chắc chắn | Đang | Ngược lại/Thực ra thì
36. 无非 (wúfēi) | Rất | Chắc chắn | Đang | Chẳng qua là
37. 未必 (wèibì) | Chắc chắn | Nhất định | Đang | Chưa chắc
38. 无论如何 (wúlùnhéhé) | Từ bỏ | Dừng lại | Đang | Bất kể thế nào
39. 不妨 (bùfáng) | Ngăn | Cấm | Đang | Tại sao không
40. 甚至于 (shènzhìyú) | Ít | Rất | Đang | Thậm chí đến mức
41. 总算 (zǒngsuàn) | Vẫn | Chưa | Đang | Cuối cùng cũng
42. 进而 (jìn'ér) | Trước | Sau | Đang | Sau đó/Tiến tới
43. 从而 (cóng'ér) | Trước | Sau | Đang | Từ đó/Do đó
