1. 仓储 (cāngchǔ) | Vận chuyển | Bán hàng | Phớt lờ | Lưu kho/Kho bãi
2. 配送 (pèisòng) | Sản xuất | Thu mua | Phớt lờ | Phân phối/Giao hàng
3. 盘点 (pándiǎn) | Xuất kho | Mua hàng | Phớt lờ | Kiểm kê
4. 缺货 (quēhuò) | Dư hàng | Hàng tồn | Phớt lờ | Hết hàng
5. 入库 (rùkù) | Xuất kho | Giao hàng | Phớt lờ | Nhập kho
6. 出库 (chūkù) | Nhập kho | Trả hàng | Phớt lờ | Xuất kho
7. 装卸 (zhuāngxiè) | Đóng gói | Kiểm tra | Phớt lờ | Bốc xếp/Dỡ hàng
8. 供应链 (gōngyìngliàn) | Sản xuất | Tiêu thụ | Phớt lờ | Chuỗi cung ứng
9. 积压 (jīyā) | Lưu thông | Bán hết | Phớt lờ | Tồn đọng (hàng hóa)
10. 周转 (zhōuzhuǎn) | Đình trệ | Hủy bỏ | Phớt lờ | Luân chuyển
11. 搬运 (bānyùn) | Đóng gói | Lưu kho | Phớt lờ | Vận chuyển/Bốc vác
12. 运输 (yùnshū) | Lưu kho | Bảo quản | Phớt lờ | Vận tải
13. 堆码 (duīmǎ) | Vận chuyển | Đóng gói | Phớt lờ | Xếp chồng
14. 包装 (bāozhuāng) | Kiểm kê | Vận chuyển | Phớt lờ | Đóng gói
15. 货架 (huòjià) | Kho hàng | Xe nâng | Phớt lờ | Kệ hàng
16. 叉车 (chāchē) | Xe tải | Xe máy | Phớt lờ | Xe nâng
17. 托盘 (tuōpán) | Xe đẩy | Thùng gỗ | Phớt lờ | Pallet
18. 标签 (biāoqiān) | Thùng carton | Giấy in | Phớt lờ | Nhãn dán/Tem
19. 订单 (dìngdān) | Hóa đơn | Báo cáo | Phớt lờ | Đơn đặt hàng
20. 运费 (yùnfèi) | Giá mua | Thuế | Phớt lờ | Cước vận chuyển
21. 通关 (tōngguān) | Giao hàng | Lưu kho | Phớt lờ | Thông quan
22. 滞留 (zhìliú) | Giải phóng | Vận chuyển | Phớt lờ | Lưu bãi/Tắc nghẽn
