1. School | Bệnh viện | Công viên | Sở thú | Trường học
2. Teacher | Bác sĩ | Kỹ sư | Công nhân | Giáo viên
3. Friend | Kẻ thù | Người lạ | Hàng xóm | Bạn bè
4. Family | Công ty | Đội bóng | Lớp học | Gia đình
5. Brother | Chị gái | Em gái | Mẹ | Anh/em trai
6. Sister | Anh trai | Em trai | Bố | Chị/em gái
7. Grandfather | Bà | Mẹ | Cô | Ông
8. Grandmother | Bố | Anh | Chú | Bà
9. Kitchen | Phòng ngủ | Phòng khách | Nhà vệ sinh | Nhà bếp
10. Bedroom | Nhà bếp | Phòng khách | Phòng ăn | Phòng ngủ
11. Bathroom | Phòng ăn | Nhà bếp | Phòng ngủ | Phòng tắm
12. Garden | Cửa sổ | Mái nhà | Cổng | Khu vườn
13. Morning | Buổi trưa | Buổi chiều | Buổi tối | Buổi sáng
14. Afternoon | Buổi sáng | Buổi tối | Buổi trưa | Buổi chiều
15. Evening | Buổi sáng | Buổi chiều | Buổi trưa | Buổi tối
16. Monday | Thứ ba | Thứ tư | Thứ năm | Thứ hai
17. Tuesday | Thứ hai | Thứ tư | Thứ sáu | Thứ ba
18. Wednesday | Thứ hai | Thứ ba | Chủ nhật | Thứ tư
19. Thursday | Thứ ba | Thứ sáu | Thứ bảy | Thứ năm
20. Friday | Thứ tư | Thứ năm | Chủ nhật | Thứ sáu
21. Saturday | Thứ hai | Thứ ba | Thứ tư | Thứ bảy
22. Sunday | Thứ sáu | Thứ năm | Thứ tư | Chủ nhật
23. Winter | Mùa xuân | Mùa hè | Mùa thu | Mùa đông
24. Spring | Mùa đông | Mùa hè | Mùa thu | Mùa xuân
25. Summer | Mùa đông | Mùa xuân | Mùa thu | Mùa hè
26. Autumn | Mùa hè | Mùa xuân | Mùa đông | Mùa thu
27. Clothes | Đồ ăn | Đồ uống | Đồ chơi | Quần áo
28. T-shirt | Quần | Váy | Áo khoác | Áo phông
29. Dress | Áo | Quần | Tất | Váy liền
30. Shoes | Mũ | Găng tay | Khăn | Giày
31. Lunch | Bữa sáng | Bữa tối | Bữa phụ | Bữa trưa
32. Dinner | Bữa sáng | Bữa trưa | Bữa phụ | Bữa tối
33. Breakfast | Bữa trưa | Bữa tối | Bữa phụ | Bữa sáng
34. Bread | Cơm | Phở | Thịt | Bánh mì
35. Rice | Bánh | Mì | Rau | Cơm
36. Water | Sữa | Trà | Cà phê | Nước
37. Juice | Nước lọc | Sữa | Trà | Nước ép
38. Fruit | Rau | Thịt | Cá | Trái cây
39. Banana | Cam | Táo | Lê | Chuối
40. Orange | Chuối | Nho | Đào | Cam
41. Mango | Táo | Nho | Mận | Xoài
42. Animal | Con người | Cây cối | Đồ vật | Động vật
43. Rabbit | Chó | Mèo | Lợn | Thỏ
44. Monkey | Hổ | Voi | Sư tử | Khỉ
45. Elephant | Chó | Mèo | Chuột | Voi
46. Tiger | Khỉ | Voi | Gấu | Hổ
47. Chicken | Vịt | Ngỗng | Chim | Gà
48. Duck | Gà | Ngỗng | Chim | Vịt
49. Mouse | Voi | Hổ | Chó | Chuột
50. Horse | Bò | Dê | Cừu | Ngựa
51. House | Trường | Công viên | Bệnh viện | Ngôi nhà
52. Table | Ghế | Tủ | Giường | Cái bàn
53. Chair | Bàn | Tủ | Giường | Cái ghế
54. Clock | Lịch | Tranh | Tivi | Đồng hồ
55. Picture | Sách | Vở | Bút | Tranh ảnh
56. Window | Cửa ra vào | Tường | Trần | Cửa sổ
57. Door | Cửa sổ | Mái | Tường | Cửa ra vào
58. Street | Nhà | Cây | Sông | Đường phố
59. Park | Trường | Chợ | Bệnh viện | Công viên
60. Hospital | Trường | Chợ | Cửa hàng | Bệnh viện
61. Market | Công viên | Trường | Bệnh viện | Chợ
62. Shop | Nhà | Trường | Bệnh viện | Cửa hàng
63. Happy | Buồn | Giận | Sợ | Vui vẻ
64. Sad | Vui | Giận | Sợ | Buồn bã
65. Angry | Vui | Buồn | Sợ | Giận dữ
66. Hungry | Khát | Mệt | Vui | Đói
67. Thirsty | Đói | Mệt | Vui | Khát
68. Tired | Đói | Khát | Vui | Mệt mỏi
69. Big | Nhỏ | Thấp | Gầy | To lớn
70. Small | To | Cao | Béo | Nhỏ bé
71. Tall | Thấp | Ngắn | Bé | Cao
72. Short | Cao | Dài | To | Thấp/Ngắn
73. Beautiful | Xấu | Già | Bẩn | Đẹp
74. Clean | Bẩn | Cũ | Rách | Sạch sẽ
75. Dirty | Sạch | Mới | Đẹp | Bẩn thỉu
76. Old | Mới | Trẻ | Đẹp | Cũ/Già
77. New | Cũ | Rách | Bẩn | Mới
78. Fast | Chậm | Yếu | Lười | Nhanh
79. Slow | Nhanh | Khỏe | Chăm | Chậm
80. Listen | Đọc | Viết | Hát | Lắng nghe
81. Speak | Nghe | Đọc | Viết | Nói
82. Read | Viết | Nghe | Hát | Đọc
83. Write | Đọc | Nghe | Xem | Viết
