1. Subject | Đồ vật | Trò chơi | Màu sắc | Môn học
2. Science | Toán | Văn | Nhạc | Khoa học
3. History | Toán | Văn | Nhạc | Lịch sử
4. Geography | Toán | Văn | Nhạc | Địa lý
5. Biology | Toán | Văn | Nhạc | Sinh học
6. Physics | Toán | Văn | Nhạc | Vật lý
7. Chemistry | Toán | Văn | Nhạc | Hóa học
8. Informatics | Toán | Văn | Nhạc | Tin học
9. Literature | Toán | Nhạc | Vật lý | Ngữ văn
10. Exercise | Học | Chơi | Ngủ | Bài tập
11. Homework | Bài kiểm tra | Bài thi | Bài học | Bài tập về nhà
12. Lesson | Bài tập | Bài thi | Bài thi | Bài học
13. Classroom | Thư viện | Căng tin | Sân chơi | Phòng học
14. Library | Căng tin | Phòng học | Sân chơi | Thư viện
15. Laboratory | Thư viện | Căng tin | Sân chơi | Phòng thí nghiệm
16. Headmaster | Giáo viên | Bảo vệ | Học sinh | Hiệu trưởng
17. Student | Giáo viên | Bảo vệ | Hiệu trưởng | Học sinh
18. Uniform | Giày | Mũ | Cặp | Đồng phục
19. Notebook | Bút | Thước | Cặp | Vở ghi
20. Compass | Bút | Vở | Cặp | Com-pa
21. Dictionary | Vở | Bút | Thước | Từ điển
22. Scissors | Bút | Vở | Thước | Cái kéo
23. Glue | Bút | Vở | Thước | Keo dán
24. Activity | Trò chơi | Màu sắc | Môn học | Hoạt động
25. Breaktime | Giờ học | Giờ thi | Giờ làm | Giờ ra chơi
26. Summer | Xuân | Thu | Đông | Mùa hè
27. Weather | Mùa | Ngày | Tháng | Thời tiết
28. Sunny | Mưa | Lạnh | Tuyết | Trời nắng
29. Rainy | Nắng | Lạnh | Tuyết | Trời mưa
30. Cloudy | Nắng | Mưa | Lạnh | Trời có mây
31. Windy | Nắng | Mưa | Lạnh | Trời có gió
32. Stormy | Nắng | Mưa | Lạnh | Trời có bão
33. Temperature | Gió | Mưa | Nắng | Nhiệt độ
34. Season | Thời tiết | Ngày | Tháng | Mùa
35. Hometown | Thành phố | Làng | Phố | Quê hương
36. Capital | Thành phố | Làng | Phố | Thủ đô
37. Country | Thành phố | Làng | Phố | Đất nước
38. Province | Thành phố | Đất nước | Phố | Tỉnh
39. District | Thành phố | Đất nước | Phố | Huyện
40. Village | Thành phố | Đất nước | Phố | Ngôi làng
41. Address | Tên | Tuổi | Số | Địa chỉ
42. Nationality | Tên | Tuổi | Số | Quốc tịch
43. Occupation | Tên | Tuổi | Số | Nghề nghiệp
44. Carpenter | Bác sĩ | Kỹ sư | Công nhân | Thợ mộc
45. Farmer | Bác sĩ | Kỹ sư | Công nhân | Nông dân
46. Worker | Bác sĩ | Kỹ sư | Nông dân | Công nhân
47. Engineer | Bác sĩ | Thợ mộc | Nông dân | Kỹ sư
48. Pilot | Bác sĩ | Kỹ sư | Nông dân | Phi công
49. Dentist | Bác sĩ | Kỹ sư | Nông dân | Nha sĩ
50. Relative | Bạn bè | Hàng xóm | Người lạ | Họ hàng
51. Cousin | Anh trai | Chị gái | Mẹ | Anh chị em họ
52. Aunt | Bố | Anh | Chú | Cô/dì
53. Uncle | Bà | Mẹ | Cô | Chú/bác
54. Nephew | Con gái | Chị gái | Mẹ | Cháu trai
55. Niece | Con trai | Anh trai | Bố | Cháu gái
56. Neighborhood | Trường | Chợ | Bệnh viện | Khu phố
57. Supermarket | Trường | Chợ | Bệnh viện | Siêu thị
58. Cinema | Trường | Chợ | Bệnh viện | Rạp chiếu phim
59. Restaurant | Trường | Chợ | Bệnh viện | Nhà hàng
60. Hospital | Trường | Chợ | Cửa hàng | Bệnh viện
61. Pharmacy | Công viên | Trường | Bệnh viện | Hiệu thuốc
62. Station | Nhà | Trường | Bệnh viện | Nhà ga
63. Direction | Bản đồ | Ảnh | Sách | Phương hướng
64. Turn left | Rẽ phải | Đi thẳng | Quay lại | Rẽ trái
65. Turn right | Rẽ trái | Đi thẳng | Quay lại | Rẽ phải
66. Go straight | Rẽ trái | Rẽ phải | Quay lại | Đi thẳng
67. Crossroad | Đường | Cầu | Ngõ | Ngã tư
68. Bridge | Đường | Ngã tư | Ngõ | Cái cầu
69. Traffic | Đường | Ngã tư | Ngõ | Giao thông
70. Health | Ốm | Đau | Khỏe | Sức khỏe
71. Symptom | Thuốc | Bác sĩ | Y tá | Triệu chứng
72. Headache | Đau chân | Đau tay | Đau lưng | Đau đầu
73. Toothache | Đau chân | Đau tay | Đau lưng | Đau răng
74. Stomachache | Đau chân | Đau tay | Đau đầu | Đau bụng
75. Fever | Đau chân | Đau tay | Đau lưng | Sốt
76. Medicine | Thức ăn | Nước uống | Quần áo | Thuốc
77. Healthy | Ốm | Đau | Mệt | Khỏe mạnh
78. Weekend | Thứ hai | Thứ ba | Thứ tư | Cuối tuần
79. Picnic | Trường | Chợ | Bệnh viện | Dã ngoại
