1. Nationality | Quốc gia | Thành phố | Ngôn ngữ | Quốc tịch
2. Country | Tên | Tuổi | Số | Quốc gia
3. Australia | Mỹ | Anh | Pháp | Úc
4. America | Úc | Anh | Pháp | Mỹ
5. Vietnam | Lào | Thái | Nhật | Việt Nam
6. England | Úc | Mỹ | Pháp | Anh
7. Japan | Úc | Mỹ | Anh | Nhật Bản
8. Malaysia | Thái | Lào | Pháp | Ma-lai-xi-a
9. Singapore | Nhật | Úc | Anh | Xin-ga-po
10. Subject | Trò chơi | Màu sắc | Đồ vật | Môn học
11. Science | Toán | Văn | Nhạc | Khoa học
12. History | Toán | Văn | Nhạc | Lịch sử
13. Geography | Toán | Văn | Nhạc | Địa lý
14. Informatics | Toán | Văn | Nhạc | Tin học
15. Literature | Toán | Nhạc | Vật lý | Ngữ văn
16. Schedule | Kế hoạch | Bài tập | Thời gian | Thời khóa biểu
17. Monday | Thứ ba | Thứ tư | Thứ năm | Thứ hai
18. Tuesday | Thứ hai | Thứ tư | Thứ sáu | Thứ ba
19. Wednesday | Thứ hai | Thứ ba | Chủ nhật | Thứ tư
20. Thursday | Thứ ba | Thứ sáu | Thứ bảy | Thứ năm
21. Friday | Thứ tư | Thứ năm | Chủ nhật | Thứ sáu
22. Saturday | Thứ hai | Thứ ba | Thứ tư | Thứ bảy
23. Sunday | Thứ sáu | Thứ năm | Thứ tư | Chủ nhật
24. Activity | Trò chơi | Màu sắc | Môn học | Hoạt động
25. Breaktime | Giờ học | Giờ thi | Giờ làm | Giờ ra chơi
26. Library | Căng tin | Phòng học | Sân chơi | Thư viện
27. Laboratory | Thư viện | Căng tin | Sân chơi | Phòng thí nghiệm
28. Gymnasium | Thư viện | Căng tin | Phòng học | Nhà thể chất
29. Uniform | Giày | Mũ | Cặp | Đồng phục
30. Equipment | Vở | Bút | Sách | Thiết bị
31. Stationery | Vở | Bút | Sách | Văn phòng phẩm
32. Compass | Bút | Vở | Cặp | Com-pa
33. Dictionary | Vở | Bút | Thước | Từ điển
34. Scissors | Bút | Vở | Thước | Cái kéo
35. Neighborhood | Trường | Chợ | Bệnh viện | Khu phố
36. Supermarket | Trường | Chợ | Bệnh viện | Siêu thị
37. Cinema | Trường | Chợ | Bệnh viện | Rạp chiếu phim
38. Restaurant | Trường | Chợ | Bệnh viện | Nhà hàng
39. Pharmacy | Công viên | Trường | Bệnh viện | Hiệu thuốc
40. Station | Nhà | Trường | Bệnh viện | Nhà ga
41. Direction | Bản đồ | Ảnh | Sách | Phương hướng
42. Crossroad | Đường | Cầu | Ngõ | Ngã tư
43. Bridge | Đường | Ngã tư | Ngõ | Cái cầu
44. Traffic | Đường | Ngã tư | Ngõ | Giao thông
45. Symptom | Thuốc | Bác sĩ | Y tá | Triệu chứng
46. Headache | Đau chân | Đau tay | Đau lưng | Đau đầu
47. Toothache | Đau chân | Đau tay | Đau lưng | Đau răng
48. Stomachache | Đau chân | Đau tay | Đau đầu | Đau bụng
49. Medicine | Thức ăn | Nước uống | Quần áo | Thuốc
50. Picnic | Trường | Chợ | Bệnh viện | Dã ngoại
51. Camping | Trường | Chợ | Bệnh viện | Cắm trại
52. Painting | Toán | Văn | Nhạc | Vẽ tranh
53. Swimming | Toán | Văn | Nhạc | Bơi lội
54. Fishing | Toán | Văn | Nhạc | Câu cá
55. Adventure | Chạy | Nhảy | Đi | Phiêu lưu
56. Comic | Truyện cổ tích | Báo | Sách | Truyện tranh
57. Newspaper | Truyện | Sách | Vở | Báo
58. Magazine | Truyện | Sách | Vở | Tạp chí
59. Butterfly | Chim | Ong | Ruồi | Con bướm
60. Dolphin | Cá | Voi | Hổ | Cá heo
61. Giraffe | Khỉ | Voi | Gấu | Hươu cao cổ
62. Kangaroo | Khỉ | Voi | Gấu | Chuột túi
63. Crocodile | Khỉ | Voi | Gấu | Cá sấu
64. Vocabulary | Ngữ pháp | Bài tập | Câu | Từ vựng
65. Grammar | Từ vựng | Bài tập | Câu | Ngữ pháp
66. Sentence | Từ vựng | Ngữ pháp | Bài tập | Câu
67. Paragraph | Từ vựng | Câu | Bài tập | Đoạn văn
68. Chapter | Từ vựng | Câu | Đoạn văn | Chương sách
69. Author | Học sinh | Giáo viên | Hiệu trưởng | Tác giả
70. Character | Tác giả | Học sinh | Giáo viên | Nhân vật
71. Plot | Nhân vật | Tác giả | Chương | Cốt truyện
72. Fantasy | Khoa học | Hài | Tin tức | Truyện giả tưởng
73. Mystery | Khoa học | Hài | Tin tức | Truyện trinh thám
74. Calculator | Bút | Thước | Vở | Máy tính cầm tay
75. Blackboard | Bút | Vở | Thước | Bảng đen
76. Sharpener | Bút | Vở | Thước | Gọt bút chì
77. Corridor | Căng tin | Phòng học | Thư viện | Hành lang
78. Staircase | Căng tin | Phòng học | Thư viện | Cầu thang
79. Curtain | Cửa sổ | Cửa ra vào | Tường | Rèm cửa
80. Ceiling | Cửa sổ | Cửa ra vào | Tường | Trần nhà
81. Cabinet | Bảng | Bàn | Ghế | Tủ đựng đồ
82. Wastebasket | Bảng | Bàn | Ghế | Thùng rác
83. Calendar | Đồng hồ | Tranh | Tivi | Lịch
84. Foggy | Nắng | Mưa | Lạnh | Trời có sương mù
85. Snowy | Nắng | Mưa | Lạnh | Trời có tuyết
86. Humid | Nắng | Mưa | Lạnh | Trời ẩm ướt
87. Dry | Nắng | Mưa | Lạnh | Trời khô hanh
88. Temperature | Gió | Mưa | Nắng | Nhiệt độ
89. North | Nam | Đông | Tây | Phía Bắc
90. South | Bắc | Đông | Tây | Phía Nam
91. East | Bắc | Nam | Tây | Phía Đông
92. West | Bắc | Nam | Đông | Phía Tây
93. Vegetable | Hoa quả | Thịt | Cá | Rau củ
94. Noodle | Bánh | Cơm | Rau | Mì sợi
95. Soup | Cơm | Mì | Rau | Canh
96. Salad | Cơm | Mì | Rau | Món salad
97. Chopsticks | Bát | Đĩa | Thìa | Đôi đũa
98. Napkin | Bát | Đĩa | Thìa | Khăn giấy
99. Tablecloth | Bát | Đĩa | Thìa | Khăn trải bàn
100. Garage | Cửa sổ | Mái nhà | Cổng | Nhà để xe
101. Experience | Kế hoạch | Kiến thức | Kỹ năng | Kinh nghiệm
102. Success | Thất bại | Nỗ lực | Tham vọng | Thành công
103. Failure | Thành công | Hy vọng | Nỗ lực | Thất bại
104. Effort | Thành công | Thất bại | Hy vọng | Nỗ lực
105. Ambition | Thành công | Thất bại | Kinh nghiệm | Tham vọng
106. Knowledge | Thành công | Thất bại | Kinh nghiệm | Kiến thức
107. Skill | Thành công | Thất bại | Kinh nghiệm | Kỹ năng
108. Talent | Thành công | Thất bại | Kỹ năng | Tài năng
109. Creative | Lười biếng | Nhút nhát | Cũ kỹ | Sáng tạo
110. Diligent | Lười biếng | Nhút nhát | Sáng tạo | Chăm chỉ
111. Lazy | Chăm chỉ | Sáng tạo | Dũng cảm | Lười biếng
112. Brave | Nhút nhát | Sáng tạo | Chăm chỉ | Dũng cảm
113. Confident | Nhút nhát | Lười biếng | Chăm chỉ | Tự tin
114. Shy | Tự tin | Sáng tạo | Chăm chỉ | Nhút nhát
115. Healthy | Ốm yếu | Mệt mỏi | Lười biếng | Khỏe mạnh
116. Sick | Khỏe mạnh | Sáng tạo | Chăm chỉ | Ốm yếu
117. Tired | Khỏe mạnh | Sáng tạo | Chăm chỉ | Mệt mỏi
118. Energetic | Mệt mỏi | Lười biếng | Nhút nhát | Tràn đầy năng lượng
119. Careful | Bất cẩn | Lười biếng | Nhút nhát | Cẩn thận
120. Careless | Cẩn thận | Chăm chỉ | Tự tin | Bất cẩn
121. Helpful | Ích kỷ | Lười biếng | Nhút nhát | Hay giúp đỡ
122. Selfish | Hay giúp đỡ | Chăm chỉ | Tự tin | Ích kỷ
123. Friendly | Khó gần | Lười biếng | Nhút nhát | Thân thiện
124. Polite | Thô lỗ | Chăm chỉ | Tự tin | Lịch sự
125. Impolite | Lịch sự | Chăm chỉ | Tự tin | Thô lỗ
126. Kind | Xấu tính | Lười biếng | Nhút nhát | Tốt bụng
127. Cruel | Tốt bụng | Chăm chỉ | Tự tin | Độc ác
128. Honest | Dối trá | Lười biếng | Nhút nhát | Trung thực
129. Dishonest | Trung thực | Chăm chỉ | Tự tin | Dối trá
130. Generous | Keo kiệt | Lười biếng | Nhút nhát | Hào phóng
131. Stingy | Hào phóng | Chăm chỉ | Tự tin | Keo kiệt
132. Rich | Nghèo | Lười biếng | Nhút nhát | Giàu có
133. Poor | Giàu có | Chăm chỉ | Tự tin | Nghèo khó
134. Expensive | Rẻ | Lười biếng | Nhút nhát | Đắt đỏ
135. Cheap | Đắt đỏ | Chăm chỉ | Tự tin | Rẻ tiền
136. Easy | Khó | Lười biếng | Nhút nhát | Dễ dàng
