1. ～際 (～さい) | Sau khi | Trước khi | Trong khi rảnh | Khi/Lúc (Văn viết)
～に際して (～にさいして) | Kết thúc | Vì | Mặc dù | Nhân dịp/Khi bắt đầu
～にあたって (～にあたって) | Sau khi xong | Định làm | Vì không làm | Nhân dịp/Vào thời điểm (Trang trọng)
～たとたん (～たとたん) | Trước khi | Mãi sau mới | Trong khi | Ngay sau khi (Bất ngờ)
～かと思ったら (～かとおもったら) | Định làm | Sắp làm | Không bao giờ làm | Vừa mới... thì ngay lập tức
～か～ないかのうちに (～か～ないかのうちに) | Trước khi làm | Sau một lúc | Vì đã làm | Ngay khi vừa mới (Gần như đồng thời)
～次第 (～しだい) | Tùy thuộc vào | Định làm | Đang làm | Ngay sau khi... sẽ làm ngay
～て以来 (～ていらい) | Trước khi | Chỉ một lần | Sắp tới | Kể từ khi... suốt cho đến nay
～てはじめて (～てはじめて) | Đã làm xong | Sắp làm | Vừa mới làm | Cho đến khi... mới nhận ra
～うちに (～うちに) | Sau khi | Kể từ | Vì | Trong khi còn... (Tranh thủ)
～を問わず (～をとわず) | Dựa trên | Tùy thuộc | Vì | Bất kể/Không phân biệt
～にかかわらず (～にかかわらず) | Chỉ vì | Nhờ vào | Kết quả là | Bất kể/Dù thế nào đi nữa
～もかまわず (～もかまかわらず) | Rất để ý | Vì lo lắng | Nhờ có | Chẳng quan tâm đến/Mặc kệ
～はともかく (～はともかく) | Nhất định là | Vì | Sau khi | Khoan hãy bàn đến/Tạm thời bỏ qua
～はさておき (～はさておき) | Định làm | Đang làm | Vì là | Tạm gác chuyện... sang một bên
～に限らず (～にかぎらず) | Chỉ có | Ngược lại | Vì | Không chỉ... mà còn
～のみならず (～のみならず) | Chỉ là | Thay vì | Do bởi | Không chỉ (Văn viết)
～ばかりか (～ばかりか) | Chỉ toàn là | Vừa mới | Sắp sửa | Không chỉ... mà còn (Mức độ tăng dần)
～はもとより (～はもとより) | Vì là | Không phải là | Định là | ... là đương nhiên, ngoài ra còn
～上に (～うえに) | Tuy nhiên | Vì | Sau khi | Hơn nữa/Thêm vào đó
～をめぐって (～をめぐって) | Dựa trên | Thông qua | Bắt đầu từ | Xoay quanh (Vấn đề/Tranh luận)
～に答えて (～にこたえて) | Hỏi về | Thay vì | Trái với | Đáp ứng lại (Kỳ vọng/Yêu cầu)
～に基づいた (～にもとづいた) | Trái với | Thay cho | Cùng với | Dựa trên/Căn cứ vào
～に沿って (～にそって) | Trái với | Nhờ vào | Bởi vì | Dọc theo/Tuân theo (Quy tắc/Lộ trình)
～をもとに (～をもとに) | Bỏ qua | Thay cho | Sau khi | Dựa trên (Vật liệu/Đề tài)
～に基づいて (～にもとづいて) | Định làm | Đã làm | Sợ làm | Căn cứ vào
～につれて (～につれて) | Tuy nhiên | Chỉ là | Vì không | Càng... càng (Kéo theo tự nhiên)
～にしたがって (～にしたがって) | Trước khi | Nhờ có | Tại vì | Càng... càng (Kéo theo quy luật)
～にともなって (～にともなって) | Trái ngược | Thay cho | Vì | Cùng với (Sự thay đổi đồng thời)
～とともに (～とともに) | Duy nhất | Thay vì | Khác với | Cùng với/Đồng thời với
～に違いない (～にちがいない) | Có lẽ | Hình như | Không phải | Chắc chắn là
～はずがない (～はずがない) | Chắc chắn | Sắp làm | Nên làm | Không thể nào/Lẽ nào lại
～っこない (～っこない) | Nhất định | Có thể | Định làm | Tuyệt đối không/Không thể
～わけがない (～わけがない) | Có lẽ | Sắp sửa | Đang làm | Tuyệt đối không (Phủ định logic)
～得ない (～えない) | Có thể | Định làm | Sợ làm | Không thể (Về mặt vật lý/lý thuyết)
～おそれがある (～おそれがある) | Có hy vọng | Nhất định | Nên làm | E rằng/Có nguy cơ (Xấu)
～まい (～まい) | Sắp làm | Hãy làm | Đã làm | Chắc là không/Quyết không
～ものか (～ものか) | Có lẽ | Nhất định | Hãy làm | Tuyệt đối không (Cảm xúc mạnh)
～わけではない (～わけではない) | Luôn luôn | Vì | Nên | Không hẳn là
～というものではない (～というものではない) | Chắc chắn | Nên làm | Hãy làm | Không phải cứ... là được
～に際して (～にさいして) | Sau khi | Vì | Tuy nhiên | Khi/Nhân dịp
～に限って (～にかぎって) | Không chỉ | Ngược lại | Tất cả | Chỉ riêng/Đúng vào lúc
～さえ～ば (～さえ～ば) | Càng... càng | Mặc dù | Tuy nhiên | Chỉ cần... là đủ
～からには (～からには) | Trước khi | Vì không | Nếu không | Một khi đã... thì phải
～以上は (～いじょうは) | Dưới mức | Chỉ là | Sắp tới | Một khi đã... (Trang trọng)
～上は (～うえは) | Sau khi | Dưới | Trong khi | Một khi đã (Văn viết trang trọng)
～わけにはいかない (～わけにはいかない) | Có thể | Nên | Hãy | Không thể (Lương tâm/Lý do)
～ざるを得ない (～ざるをえない) | Không cần | Thích | Nên | Đành phải/Buộc phải
～抜く (～ぬく) | Làm dở dang | Bắt đầu làm | Không làm | Làm tới cùng/Hết mức
～がたい (～がたい) | Dễ làm | Thích làm | Nên làm | Khó mà (Cảm xúc/Tâm lý)
～ずにはいられない (～ずにはいられない) | Phải làm | Nên làm | Cấm làm | Không thể không/Không kìm được
～ないではいられない (～ないではいられない) | Có thể nhịn | Định làm | Sắp làm | Không thể cưỡng lại việc...
～に限る (～にかぎる) | ... là không nên | ... là sai | ... là bình thường | ... là tốt nhất/là nhất
～にほかならない (～にほかならない) | Có lẽ là | Không phải là | Hình như là | Chính là/Không gì khác ngoài
～にすぎない (～にすぎない) | Rất nhiều | Quan trọng là | Khác biệt là | Chẳng qua chỉ là
～ものがある (～ものがある) | Không có gì | Bình thường | Sắp tới | Có cảm giác/Có gì đó rất...
～といっても過言ではない (～といってもかごんではない) | Nói dối | Nói sai | Nói thừa | Nói... cũng không quá lời
～というものではない (～というものではない) | Chắc chắn | Nên làm | Hãy làm | Không phải cứ... là được
～ないことはない (～ないことはない) | Tuyệt đối không | Chắc chắn | Đừng làm | Không phải là không...
～ことはない (～ことはない) | Phải làm | Nên làm | Cấm làm | Không cần thiết phải làm
～反面 (～はんめん) | Hơn nữa | Do đó | Vì vậy | Mặt khác/Trái lại
～一方で (～いっぽうで) | Chỉ có một | Trước khi | Sau khi | Mặt khác/Đồng thời
～というより (～というより) | Giống như là | Vì là | Nghe nói là | Nói đúng hơn là...
～かわりに (～かわりに) | Cùng với | Do đó | Bởi vì | Thay vì/Bù lại
～にしろ / ～にせよ (～にしろ / ～にせよ) | Vì là | Sau khi | Trước khi | Cho dù là/Dẫu cho là
～といっても (～といっても) | Bởi vì | Nếu nói | Nghe nói là | Dù nói là... nhưng thực tế
～ものの (～ものの) | Vì vậy | Tuy nhiên | Cho nên | Mặc dù... nhưng
～つつ (～つつ) | Vì... nên | Sau khi | Trước khi | Mặc dù... nhưng (Văn viết)
～ながら (～ながら) | Vì thế | Do đó | Hơn nữa | Mặc dù... nhưng (Trạng thái)
～からといって (～からといって) | Vì là | Nếu là | Tuy nhiên | Cho dù nói là... cũng không
～ぬく (～ぬく) | Làm dở dang | Bắt đầu làm | Không làm | Làm tới cùng (Nỗ lực)
