1. 可能形 (かのうけい) | Bắt làm | Bị làm | Định làm | Có thể làm
意向形 (いこうけい) | Có thể làm | Cấm làm | Bị làm | Dự định làm
命令形 (めいれいけい) | Xin đừng làm | Đang làm | Thử làm | Hãy làm đi (Mệnh lệnh)
禁止形 (きんしけい) | Nên làm | Phải làm | Được làm | Cấm làm
受身形 (うけみけい) | Cho phép làm | Định làm | Có thể làm | Bị/Được làm
使役形 (しえきけい) | Bị làm | Thử làm | Lỡ làm | Sai khiến (Bắt/Cho phép)
使役受身形 (しえきうけみけい) | Được làm | Định làm | Không thể làm | Bị bắt phải làm
～つもりです (～つもりです) | Đã làm xong | Không được làm | Nên làm | Dự định làm
～予定です (～よていです) | Vừa mới làm | Đang làm | Thử làm | Theo kế hoạch là
～ために (～ために) | Vì (Hậu quả) | Tuy nhiên | Sau khi | Để/Cho (Mục đích)
～ように (～ように) | Vì | Nhưng | Khi | Để/Để sao cho
～ことに します (～ことに します) | Bị bắt làm gì | Có thể làm gì | Thử làm gì | Quyết định làm gì
～ことに なります (～ことに なります) | Tự mình làm | Đang làm | Phải làm | Được quyết định là
～ば (～ば) | Vì | Nhưng | Sau khi | Nếu (Điều kiện)
～たら (～たら) | Trước khi | Trong khi | Vì | Sau khi/Nếu
～なら (～なら) | Và | Nhưng | Tuy nhiên | Nếu là/Trường hợp là
～と (～と) | Vì | Hoặc | Của | Hễ mà (Tự nhiên)
～そうです (～そうです) | Nghe nói là | Chắc chắn | Không phải | Trông có vẻ/Sắp
～そうです (～そうです) | Trông có vẻ | Đã làm | Đang làm | Nghe nói là (Truyền đạt)
～ようです (～ようです) | Chắc chắn | Đã từng | Nên làm | Hình như (Cảm giác)
～らしいです (～らしいです) | Trông có vẻ | Phải làm | Không được | Nghe nói/Đúng kiểu
～かもしれません (～かもしれません) | Nhất định | Hoàn toàn không | Đang làm | Có lẽ/Có thể
～はずです (～はずです) | Hình như | Không thể | Muốn làm | Chắc chắn là
～てみます (～てみます) | Đang làm | Phải làm | Nên làm | Thử làm gì
～てしまいます (～てしまいます) | Sắp làm | Đừng làm | Muốn làm | Đã lỡ/Làm xong hết
～ておきます (～ておきます) | Làm xong | Đang làm | Không làm | Làm sẵn/Chuẩn bị
～てあります (～てあります) | Đang làm | Phải làm | Sẽ làm | Có làm sẵn (Trạng thái)
～やすい (～やすい) | Khó làm | Thích làm | Nhanh | Dễ làm
～にくい (～にくい) | Dễ làm | Ghét làm | Chậm | Khó làm
～すぎる (～すぎる) | Một chút | Vừa đủ | Rất thích | Quá mức
～のだ / ～んです (～のだ / ～んです) | Hỏi han | Cấm đoán | Rủ rê | Nhấn mạnh/Giải thích
尊敬語 (そんけいご) | Khiêm nhường ngữ | Từ thân mật | Từ lóng | Kính ngữ (Nâng đối phương)
謙譲語 (けんじょうご) | Kính ngữ | Từ lịch sự | Từ cổ | Khiêm nhường ngữ (Hạ mình)
～てくれます (～てくれます) | Mình làm cho ai | Ai làm cho ai | Không ai làm | Ai đó làm cho mình
～てあげます (～てあげます) | Ai làm cho mình | Bị bắt làm | Được làm cho | Mình làm cho ai đó
～てもらいます (～てもらいます) | Tự mình làm | Bị bắt làm | Làm cho ai | Được ai đó làm cho
～さしあげます (～さしあげます) | Nhận (Kính ngữ) | Mượn | Trả | Tặng/Cho (Kính ngữ)
～くださいます (～くださいます) | Mình cho ai | Bị lấy mất | Cho mượn | Cho mình (Kính ngữ)
～いただきます (～いただきます) | Cho | Bán | Mua | Nhận (Khiêm nhường)
～ばかり (～ばかり) | Một ít | Không có | Vừa mới xong | Toàn là/Chỉ toàn
～ところです (～ところです) | Đã xong lâu | Sắp tới | Luôn luôn | Đang định/Vừa mới
～までに (～までに) | Sau thời hạn | Trong khoảng | Kể từ khi | Trước thời hạn
～うしろ (～うしろ) | Phía trước | Bên cạnh | Ở giữa | Phía sau
～はじめます (～はじめます) | Kết thúc làm | Đang làm | Sắp làm | Bắt đầu làm gì
～おわります (～おわります) | Bắt đầu làm | Đang làm | Sợ làm | Kết thúc làm gì
～つづけます (～つづけます) | Dừng làm | Bắt đầu | Kết thúc | Tiếp tục làm gì
～なさい (～なさい) | Đừng làm | Phải làm | Nên làm | Hãy làm đi (Nhẹ nhàng)
～まま (～まま) | Thay đổi | Kết thúc | Khác đi | Cứ để nguyên như thế
～おかげで (～おかげで) | Tại vì (Hậu quả) | Tuy nhiên | Dù cho | Nhờ có (Kết quả tốt)
～せいで (～せいで) | Nhờ có | Mặc dù | Nếu mà | Tại vì (Hậu quả xấu)
～ほど (～ほど) | Hơn là | Giống như | Nhất là | Không bằng / Đến mức
～ばかり (～ばかり) | Sắp sửa | Luôn luôn | Đã lâu | Vừa mới xong
～だけ (～だけ) | Cũng | Mỗi | Hơn | Chỉ / Đến mức
～しか～ない (～しか～ない) | Rất nhiều | Hoàn toàn | Thỉnh thoảng | Chỉ (Duy nhất)
～でも (～でも) | Bởi vì | Nếu mà | Sau khi | Ngay cả / Cho dù
～とか (～とか) | Và (liệt kê hết) | Bởi vì | Tuy nhiên | Như là / Hoặc là
～し、～し (～し、～し) | Vì... nên... | Mặc dù... | Nếu... | Vừa... lại vừa...
～ながら (～ながら) | Vì vậy | Hơn nữa | Do đó | Mặc dù / Tuy nhiên
～のに (～のに) | Bởi vì | Nếu | Cho nên | Thế mà / Mặc dù
～はずがない (～はずがない) | Chắc chắn | Có lẽ | Định làm | Lẽ nào lại / Không thể
～ように なります (～ように なります) | Quyết định | Bị bắt | Thử làm | Trở nên (Thay đổi)
～ように します (～ように します) | Bị làm | Sẽ làm | Thích làm | Cố gắng làm gì
～ように 言われました (～ように いわれました) | Được khen | Được tặng | Được cho | Bị nhắc nhở / Bị bảo
～な (～な) | Hãy làm | Phải làm | Nên làm | Đừng (Cấm đoán)
～（さ）せて ください (～（さ）せて ください) | Tôi bắt bạn làm | Bạn làm cho tôi | Đừng làm | Hãy cho phép tôi làm
～そうです (～そうです) | Trông có vẻ | Nhất định | Hoàn toàn | Theo như / Nghe nói
～によると (～によると) | Tại vì | Nhờ có | Mặc dù | Theo như (Nguồn tin)
～という (～という) | Nói về | Nghe nói | Bởi vì | Có tên là / Gọi là
～かどうか (～かどうか) | Cái gì | Ở đâu | Ai | Có hay không
～か (～か) | Và | Nhưng | Vì | Liệu rằng / Câu hỏi
～うちに (～うちに) | Sau khi | Trước khi | Vì | Trong khi còn...
～あいだに (あいだに) | Kết thúc | Bắt đầu | Nếu | Trong khi đang...
～までに (～までに) | Kể từ | Sau khi | Mãi đến | Trước khi / Trước thời hạn
～たばかり (～たばかり) | Sắp làm | Đang làm | Luôn làm | Vừa mới làm xong
～ところ (～ところ) | Luôn luôn | Đã lâu | Sắp sửa | Đang lúc / Vừa đúng lúc
～出す (～だす) | Kết thúc | Dừng lại | Chờ đợi | Đột nhiên làm / Bắt đầu
～始める (～はじめる) | Đang làm | Xong rồi | Sợ làm | Bắt đầu làm gì
～終わる (～おわる) | Bắt đầu | Đang làm | Định làm | Làm xong / Kết thúc
～続ける (～つづける) | Dừng lại | Bỏ cuộc | Sắp làm | Tiếp tục làm
～急ぐ (～いそぐ) | Chậm rãi | Dừng lại | Từ bỏ | Vội vã làm
～がする (～がする) | Nhìn thấy | Nghe thấy | Nói ra | Có mùi / âm thanh / cảm giác
～にする (～にする) | Trở nên | Thử làm | Muốn làm | Quyết định chọn cái gì
～（さ）せられる (～（さ）せられる) | Được làm | Cho phép làm | Định làm | Bị bắt làm
～て ほしい (～て ほしい) | Mình muốn làm | Không muốn làm | Hãy làm đi | Muốn ai đó làm gì
～て もらう (～て もらう) | Cho đi hành động | Bị làm | Sợ làm | Được nhận hành động
～て くれる (～て くれる) | Mình làm cho ai | Tự làm | Không làm | Ai đó làm cho mình
～て あげる (～て あげる) | Ai làm cho mình | Bị ép làm | Được làm | Mình làm cho ai đó
お～ください (お～ください) | Đừng làm | Phải làm | Nên làm | Xin mời (Kính ngữ)
お～になります (お～になります) | Khiêm nhường | Thân mật | Lóng | Kính ngữ (Hành động của khách)
お～します (お～します) | Kính ngữ | Ra lệnh | Cấm đoán | Khiêm nhường (Hành động của mình)
それで (それで) | Nhưng | Tuy nhiên | Hoặc là | Vì thế / Sau đó
それに (それに) | Tuy nhiên | Vì vậy | Ví dụ | Hơn nữa / Thêm vào đó
それほど (それほど) | Một chút | Rất nhiều | Hoàn toàn | Đến mức đó
それなら (それなら) | Mặc dù | Tuy nhiên | Bởi vì | Nếu vậy thì
なかなか～ない (なかなか～ない) | Rất nhanh | Luôn luôn | Sắp sửa | Mãi mà không...
もしかしたら (もしかしたら) | Chắc chắn | Nhất định | Không bao giờ | Có lẽ là / Biết đâu
ぜひ (ぜひ) | Có lẽ | Hoàn toàn | Thỉnh thoảng | Nhất định / Rất muốn
ちょうど (ちょうど) | Quá mức | Một ít | Rất lâu | Vừa vặn / Đúng lúc
さっき (さっき) | Ngày mai | Tương lai | Luôn luôn | Vừa nãy
ついに (ついに) | Bắt đầu | Ngay lập tức | Trước đây | Cuối cùng thì
