1. は (は) | Của | Ở tại | Và | Thì/Là
の (の) | Tại | Bằng | Cái gì | Của (Sở hữu)
も (も) | Chỉ | Mỗi | Nhưng | Cũng
と (と) | Hoặc | Của | Ở | Với/Và
を (を) | Chỉ nơi chốn | Chỉ thời gian | Chỉ phương hướng | Chỉ đối tượng (Tác động)
に (に) | Chỉ công cụ | Chỉ lý do | Chỉ sở hữu | Chỉ thời điểm/Đích đến
へ (へ) | Tại đâu | Bằng cái gì | Vì cái gì | Chỉ phương hướng
で (で) | Của ai | Lúc nào | Với ai | Tại/Bằng/Vì
から (から) | Đến | Và | Nhưng | Từ/Vì
まで (まで) | Từ | Chỉ | Cũng | Đến
～てください (～てください) | Đang làm gì | Muốn làm gì | Đã làm gì | Hãy làm gì
～ています (～ています) | Sẽ làm | Phải làm | Nên làm | Đang làm
～てもいいです (～てもいいです) | Cấm làm | Phải làm | Đang làm | Làm cũng được (Cho phép)
～てはいけません (～てはいけません) | Hãy làm đi | Sẽ làm | Thích làm | Không được làm (Cấm)
～なければなりません (～なければなりません) | Không cần làm | Đã làm | Đang làm | Phải làm
～なくてもいいです (～なくてもいいです) | Phải làm | Nên làm | Muốn làm | Không làm cũng được
～たいです (～たいです) | Đang làm | Giỏi làm | Sợ làm | Muốn làm
～に 行きます (～に いきます) | Đi bằng cái gì | Đi với ai | Đi lúc nào | Đi để làm gì
～ましょう (～ましょう) | Đã làm rồi | Đừng làm | Đang làm | Cùng làm nhé
～ましょうか (～ましょうか) | Bạn đang làm gì? | Làm xong chưa? | Đừng làm nhé? | Tôi làm giúp nhé?
～ことが できます (～ことが できます) | Đã từng làm | Thích làm | Nên làm | Có thể làm
～たことが あります (～たことが あります) | Chưa từng làm | Sắp làm | Đang làm | Đã từng làm
～ほうが いいです (～ほうが いいです) | Cấm làm | Muốn làm | Sợ làm | Nên làm/Tốt hơn là
～ないで ください (～ないで ください) | Hãy làm đi | Cấm làm | Đã làm | Xin đừng làm
～つもりです (～つもりです) | Đã làm xong | Không thể làm | Thích làm | Dự định làm
～たり ～たりします (～たり ～たりします) | Chỉ làm một việc | Đang làm | Phải làm | Làm việc này, việc kia
～た あとで (～た あとで) | Trước khi làm | Trong khi làm | Vì làm | Sau khi làm
～る まえに (～る まえに) | Sau khi làm | Ngay khi làm | Nếu làm | Trước khi làm
～とき (～とき) | Vì | Tuy nhiên | Sau đó | Khi/Lúc
～ながら (～ながら) | Vì làm nên... | Sau khi làm... | Trước khi làm... | Vừa làm vừa...
～があります (～があります) | Có (Người) | Đi | Đến | Có (Đồ vật)
～がいます (～がいます) | Có (Đồ vật) | Ăn | Ngủ | Có (Người/Động vật)
～より (～より) | Giống như | Hơn là | Chỉ có | So với
～の中で 一番 (～のなかで いちばん) | Kém nhất | Khác với | Giống như | Nhất trong phạm vi
～そうです (～そうです) | Chính xác là | Chắc chắn là | Không phải là | Nghe nói/Trông có vẻ
～と言いました (～といいました) | Đã nghĩ là | Đã nghe là | Đã làm là | Đã nói là
～と思います (～とおもいます) | Tôi biết là | Tôi thấy là | Tôi nói là | Tôi nghĩ là
～から (～から) | Nhưng | Sau đó | Nếu | Vì (Lý do)
～が (～が) | Vì | Và | Hoặc | Nhưng (Nghịch lý)
～など (～など) | Chỉ có | Chính là | Cũng là | Vân vân (Liệt kê)
